id,category,username,pictures,Status,OptionsList,StockNumber,Sold,Mileage,FuelType,Transmission,Price,Vin,AgApplication,Year,IW_NO,SellerComments,AgMake,AgModel,AgEngine,AgHorsepower,AgHours,AgDriveType,AgTransmission,OperatorStation,AgSteering,SpeedsForward,SpeedsReverse,AgTireSize,CuttingWidth,TireEquipment,AgType,balecounterincl,baletyperound,baleweight2200,balewidthin61,maxbalediameterin72,nobeltschainrollers8belts,pickupnooftines144,pickupwidth604,tiresstd14l161,weightlbs6095,yearsmade20032005,userdefined
28394,Ag,croppermotors,,Used,,UEQ3579,false,,,,,,Harvest,2005,,"<ul><li>
		c/w '03 MacDon 975 header @ 36'</li>
	<li>
		Gage wheels</li>
	<li>
		Turbo</li>
	<li>
		2 speed</li>
	<li>
		Empire gauge wheels</li>
	<li>
		Dual knife</li>
	<li>
		Split reel</li>
</ul>",Prairie Star,4952i,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
28396,Ag,croppermotors,,Used,,UEQ3569,false,,,,,,Harvest,1996,,"<ul><li>
		c/w '96 MacDon 960 header @ 30'</li>
	<li>
		Turbo</li>
	<li>
		2 speed</li>
	<li>
		Pickup reel</li>
	<li>
		Gage wheels</li>
</ul>",Premier,2900,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
3628,Ag,croppermotors,pictures/3628_1.jpg;pictures/3628_2.jpg;pictures/3628_3.jpg,,,UEQ3427,false,,,,,,Planting & Seeding,2002,,"<p>
	9.8"", 330 TRIP, DUAL CASTORS, mrb'S, DUAL SHOOT WITH NH3, VERTICAL OPENERS</p>",Bourgault,Airdrill 5710 at 47 FT,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
3633,Ag,croppermotors,pictures/3633_1.jpg;pictures/3633_2.jpg,,,UEQ3425,false,,,,,,Hay/Forage,1998,,"<p>
	NEW IDEA BALER 4865</p>",New Idea,Baler 4865,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
3634,Ag,croppermotors,pictures/3634_1.jpg;pictures/3634_2.jpg,,,UEQ2184,false,,,,,,Hay/Forage,2002,,"<p>
	W/O MESH; 540 PTO HAS A HYDRAULIC KICKER, 5x6 BALES</p>",Hesston,Baler 856,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
3749,Ag,croppermotors,pictures/3749_1.jpg;pictures/3749_2.jpg;pictures/3749_3.jpg;pictures/3749_4.jpg,,,UCO508,false,,,,,,Application,1990,,"<ul><li>
		21'</li>
	<li>
		Bat reel</li>
	<li>
		Fits 850 or 860 Massey Ferguson</li>
	<li>
		Hyd.</li>
	<li>
		Reel drive</li>
</ul>",Massey Ferguson,860 Header,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
21165,Ag,croppermotors,pictures/21165_1.jpg;pictures/21165_2.jpg;pictures/21165_3.jpg;pictures/21165_4.jpg,Used,,UTR1308,false,,,,,,Tractors,2012,,"<ul><li>
		16 spd powershift</li>
	<li>
		710/72R42 duals</li>
	<li>
		PTO</li>
	<li>
		Deluxe cab pkg</li>
	<li>
		leather seat</li>
	<li>
		Raven autosteer</li>
	<li>
		AM/FM/CD</li>
</ul>",Versatile,435,,,,4WD,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
23232,Ag,croppermotors,pictures/23232_1.jpg;pictures/23232_2.jpg,USED,,UEQ3423,false,,,,,,Harvest,2010,,"<ul><li>
		Comes with '09 MacDon D60 header at 35'</li>
	<li>
		18.4 x 26 - 16.5-16.1</li>
	<li>
		Double knife</li>
	<li>
		Split reel</li>
	<li>
		Skid shoes</li>
	<li>
		Hyd. centre link</li>
	<li>
		Trans. kit</li>
	<li>
		Hyd. roller</li>
	<li>
		280 hours</li>
</ul>",MacDon,M150,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
23236,Ag,croppermotors,pictures/23236_1.jpg;pictures/23236_2.jpg;pictures/23236_3.jpg;pictures/23236_4.jpg;pictures/23236_5.jpg;pictures/23236_6.jpg,USED,,UEQ3540,false,,,,,,Harvest,1998,,"<ul><li>
		30'</li>
	<li>
		Pickup reel</li>
	<li>
		Scheumacher knife drive</li>
</ul>",Massey Ferguson,220,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
28388,Ag,croppermotors,,Used,,UEQ3577,false,,,,,,Harvest,2013,,"<ul><li>
		c/w JD 440D header @ 40'</li>
	<li>
		Double knife</li>
	<li>
		Split reel</li>
	<li>
		Hydraulic Roller</li>
	<li>
		600 Fronts</li>
	<li>
		Transport</li>
	<li>
		HID lights</li>
	<li>
		Beacons</li>
</ul>",John Deere,W150,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
28390,Ag,croppermotors,,Used,,UEQ3576,false,,,,,,Harvest,2011,,"<ul><li>
		c/w MacDon D60 header</li>
</ul>",MacDon,M150,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
28391,Ag,croppermotors,,Used,,UEQ3570,false,,,,,,Harvest,2010,,"<ul><li>
		c/w '10 MF 5200 header @ 30'</li>
</ul>",Massey Ferguson,9220,,,,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
27381,Ag,croppermotors,,USED,,UTR1317,false,,,,,,Tractors,2011,,"<ul><li>
		FWA</li>
	<li>
		Beacons</li>
	<li>
		Powershift</li>
	<li>
		3 remotes</li>
	<li>
		689 hrs</li>
</ul>",New Holland,T6050,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
27125,Ag,croppermotors,,USED,,UEQ3536,false,,,,,,Planting & Seeding,2003,,"<ul><li>
		3 tank metering</li>
	<li>
		CRA</li>
	<li>
		Rear hitch</li>
	<li>
		Single shoot</li>
	<li>
		Single tires</li>
</ul>",Bourgault,5350,,,,,,,,,,,,,Airseeder,false,false,false,false,false,false,false,false,false,false,false,false
25646,Ag,croppermotors,pictures/25646_1.jpg;pictures/25646_2.jpg;pictures/25646_3.jpg;pictures/25646_4.jpg,USED,,UCO535,false,,,,,,Harvest,2005,,"<ul><li>
		16' pickup</li>
	<li>
		Chopper</li>
	<li>
		900 singles</li>
	<li>
		Fieldstar</li>
</ul>",Massey Ferguson,9790,,,,,,,,,,,,,Combine,false,false,false,false,false,false,false,false,false,false,false,false
25648,Ag,croppermotors,pictures/25648_1.jpg;pictures/25648_2.jpg;pictures/25648_3.jpg;pictures/25648_4.jpg;pictures/25648_5.jpg;pictures/25648_6.jpg,USED,,UEQ3550,false,,,,,,Harvest,2009,,"<ul><li>
		80' booms</li>
	<li>
		Deluxe seat</li>
	<li>
		Crop dividers</li>
	<li>
		Outback autosteer</li>
	<li>
		Duals</li>
	<li>
		Section control</li>
	<li>
		Foam marker</li>
</ul>",Spra-Coupe,4660,,,958,,,,,,,,,,Swather,false,false,false,false,false,false,false,false,false,false,false,false
23576,Ag,croppermotors,pictures/23576_1.jpg;pictures/23576_2.jpg;pictures/23576_3.jpg;pictures/23576_4.jpg,USED,,UEQ3521,false,,,,,,Tillage,2010,,"<ul><li>
		82'</li>
	<li>
		9/16"" tines</li>
	<li>
		Hyd. angle</li>
	<li>
		21-22""</li>
</ul>",Degelman,7000,,,,,,,,,,,,,Harrow,false,false,false,false,false,false,false,false,false,false,false,false
23233,Ag,croppermotors,pictures/23233_1.jpg;pictures/23233_2.jpg;pictures/23233_3.jpg;pictures/23233_4.jpg;pictures/23233_5.jpg,USED,,UEQ3542,false,,,,,,Harvest,2004,,"<ul><li>
		Comes with '04 MacDon 975 header at 36'</li>
	<li>
		Split reel</li>
	<li>
		Double knife</li>
	<li>
		Transport</li>
	<li>
		Rear shears</li>
	<li>
		Turbo 2 speed</li>
	<li>
		16.5-16.1 rear tires</li>
	<li>
		Pull-type roller</li>
</ul>",Premier,2952I,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false
